,title_amzn,description_amzn,manufacturer_amzn,price_amzn,id_amzn
17,microsoft data analyzer 2002,model- ms-cd87800wi vendor- microsoft corporation features- data analyzer microsoft data analyzer is an easy-to-use data analysis tool that offers an innovative graphical analysis interface enabling users to identify trends opportunities and potential issues quickly. microsoft data analyzer extends the business intelligence capabilities of microsoft office xp by adding rich visualization and analysis capabilities. data analyzers intuitive user interface complements the powerful analysis features provided by excel 2002 office web components and digital dashboards. designed to optimize the advanced features of microsoft sql server 2000 analysis services data analyzer is a valuable component of any organizations business intelligence strategy and a key player in the microsoft business intelligence platform. * data analyzer view easily display relationships across multiple dimensions such as customer region product and time in a single view. * color scale find business data anomalies with the dynamic and customizable color scale that automatically highlights anomalies for you. * export to excel the export to excel feature enables you to easily export your data into an excel workbook or pivottable report for further analysis. * grid view the grid view feature enables you to see the data behind the bars in its context. easily switch between bar grid and pie chart views to see your data from different perspectives. * export to powerpoint easily convert data into slides for professional presentations with the export to powerpoint feature. this feature creates a single powerpoint slide that includes a static view and a b,microsoft,179.0,b00005op44
18,swat 4: special weapons and tactics,looking for a tactical shooter that asks you to do more than charge a building guns a' blazin'? with a focus on sparing as many lives as possible swat 4 not only raises the stakes it raises the realism to a new level. choose your loadout carefully and only go lethal when all else fails and the lives of innocents or a squad member are at stake. in swat 4 you're the leader nicknamed boss and it's your job to command three other specialists through a variety of missions in every corner of a perilous crime-infested city. your special weapons and tactics squad consists of basic specialist types an assaulter a breacher a scout and a non-lethal specialist. these specialists can be customized to your tastes and you can pick weapons that suit your mission objectives and plan. in keeping with swat 4's focus on non-lethal life-preserving engagements you can choose weapons such as tasers flashbang grenades and a bean bag-hurling shotgun. of course many situations turn hot and the baddies you'll face will be well armed so there is a complete selection of lethal firepower as well. your missions will focus on neutralizing criminal elements and taking as many suspects into custody as possible. how you do that is up to you but the game demands restraint stealth and an eye for gaining the tactical advantage over opponents. you'll use items like the optiwand to look around corners and under doors to scout for foes before rushing in and subduing a suspect with pepper spray cs gas or if things turn ugly live rounds. be careful though; killing innocents will end your mission immediately. as squad leader you make the ultimate calls about whether to enter rooms open fire or retreat. you'll command three other capable comrades with the only goal of keeping people alive. swat 4's intuitive command system will have you giving orders and organizing your team effectively in no time. all commands are contextual meaning the game provides possible options depending on the situation you're in. this allows you to make decisions quickly because when lives are at stake and the action heats up one thing you don't have is a lot of time. the swat franchise is well known for great multi-player action and swat 4 is no exception. you can play online in one of three modes barricaded suspects v.i.p. escort or rapid deployment. each mode comes with unique challenges and makes special demands on your powers of cooperation and command. keep a cool head and keep the body bags to a minimum.,vivendi universal,19.99,b00005wf9v
19,warlords 3 (jewel case),,red orb entertainment,0.0,b00005yx8i
20,punch! 5 in 1 home design,home renovation software takes a big leap forward with 5 in 1 home design from punch! a package that lets you draw an imagined future home or work on altering the one you have--without investing in building materials or architects up front! divided into a series of specialized applications this program makes it simple to hone room layouts design decks fine-tune furnishing designs and landscape any size or shape of building lot. and when the individual pieces are polished 5 in 1 home design pulls everything together into the big picture of your dreams. unlike many comparable packages this package provides a fast and streamlined process for drawing floor plans from scratch. moving wall by wall rather than room by room a user can lay out everything in detail. whether you are reconstructing an existing house or dreaming big the program's learning process is swift. it is still possible to end up struggling to convince the package that an interior room is indeed inside the house (and thus deserving of carpet rather than lawn) but these glitches are rare and relatively easy to amend. anyone interested in having a basic plan done both painlessly and fast will love the interface this program offers. other tools in 5 in 1 home design allow you to walk through the three-dimensional model of your house print out pieces of a model so you can build it yourself and fit the home inside and out with furnishings and finishes. you can switch to these tools without ever shutting off the core floor plan moving to an overhead view of the house and back then breezing into a furniture-building application. to minimize headaches all the data on each house is kept in a single file. in short punch! 5 in 1 home design will help you put together homes just as you imagine them. the power so handily available in this design program makes it an obvious first choice for those new to home design software and a real boon for anyone looking to brainstorm ideas for constructing decorating or renovating a house. --alyx dellamonica,punch! software,39.99,b000063v0z
21,textbridge pro 11,textbridge pro 11 is the simple and fast way to convert paper into editable electronic documents saving time and increasing productivity. new ocr engines deliver the most accurate textbridge results ever--even on complex pages with graphics and tables. a completely redesigned user interface and a new text editor make processing and proofing faster and more intuitive. textbridge pro 11 features improved accuracy resulting from redesigned recognition engines which saves proofreading time and makes users more productive. as always direct ocr is a feature that allows users to move text directly into microsoft word and other word processing documents but now tables and graphics will be retained as if the document was processed in omnipage pro. the new wysiwyg text editor is intuitive and easier to operate. in addition color text and color backgrounds are now recognized for accurate retention of color documents.,nuance communications inc.,79.99,b000067vpa
22,checkmark multiledger,give your growing business a financial edge with checkmark multiledger a fully integrated accounting system. multiledger combines accounts payable accounts receivable inventory bank reconciliation and more in one program. including features and capabilities similar to those found in products that cost thousands of dollars multiledger integrates with checkmark's payroll and can network up to 10 users each with their own password and security options. users can set up multiledger at any time of the year and select a chart of accounts from the samples provided. easy set-up templates are included and transactions can be posted to any of 15 open months. data files can be imported and exported. a drill-down feature gives users instant access to gl journals customer reports and vendor reports. multiledger's users can enter transactions quickly using convenient pop-up lists. functions like converting a quote to an invoice or transforming a purchase order to a payable require only the click of a button. multiledger's files run cross-platform so you get both windows and macintosh versions in the same box.,checkmark software,399.0,b000068u3h
23,reel deal casino quest,traditional slots bonus game slots and multi-playvideo poker!product information reel deal casino quest brings the high-paced fastaction of a las vegas casino right to your pc.&nbsp; a wide variety of casinogames each crafted in gorgeous detail.&nbsp,phantom efx,19.99,b000068xl9
24,emedia intermediate guitar method win/mac,emedia intermediate guitar method is an easy way to take your guitar playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lessons with full-motion video sound and an animated fretboard. you'll learn to play solos like the ones eric clapton and jimi hendrix made famous using newly acquired skills such as hammer-ons pull-offs bends vibrato and slides. barre chords and different strumming styles are covered in the rhythm chapters and there's a fingerstyle chapter as well. you can choose to learn using either tablature or standard music notation. intervals scales and the basics of improvisation are also covered in this comprehensive volume. emedia intermediate guitar method includes an animated fretboard that displays the fingering for each song and exercise in real time and is adjustable to four different viewing angles. included are over 50 songs recorded in multitrack audio which makes learning and listening to hit songs exciting. also available is a variable-speed midi track option allowing students to practice any song or exercise at the tempo they choose. the new scale directory provides fingerings recordings and variable-speed midi for over 200 scales making practicing and learning new scales easy. additional features include a built-in automatic tuner digital metronome recorder and 1 000-chord dictionary with audio playback. intermediate guitar method features many hit songs by artists such as eric clapton jimi hendrix the steve miller band johnny cash and jim croce.,emedia,59.99,b0000696oh
25,i love the usa,uncover geo-facts and discover the people places and pastimes of all 50 u.s. states. track down clues from coast to coast to solve a social studies mystery. relive the rich history of the east coast. whoop it up in the midwest. explore the vast mountain ranges of the west coast. experience all this and much more with the award-winning social studies software program i love the usa. designed for ages 6 to 9 kids learn about the states as well as their capitals culture and history. raise the flag quizzes let kids test their knowledge as they go. the perfect children's title for travel in the u.s. kids identify states by shape visit landmarks view travel videos and track the weather throughout the u.s. animated map screens puzzles games and more than 500 pop-up geo-facts keep kids thinking. they can even win 30 stickers and earn special medals and certificates. plus kids can make their own state maps using the map feature which also lets them print their map as a post card or e-mail it to a friend.,global software publishing,9.99,b00006gxbz
28,cold zero: no mercy,you are an unpredictable and vicious man who has turned to a life of violence after being blackmailed by the italian mafia. over 100 characters 100 weapons detailed 3d graphics and interactive environments. staying ruthless means staying alive!,encore software,19.99,b00006h38u
29,upg sgms 1000 incremental node,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked by the internet so does the complexity of managing security appliances security policies and updates. a single flaw in security implementation at any point in the network can expose the entire infrastructure allowing malicious access to important data and files with severe consequences. managing security for distributed networks on a site-by-site basis is time consuming expensive and unreliable putting a big strain on already limited resources. sonicwall global management system (sonicwall gms) standard edition enables distributed enterprises and service providers to manage thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive application. sonicwall gms delivers a cost-effective global security management solution that reduces staffing requirements speeds up deployment and lowers the cost of managing security services. sonicwall gms gives administrators the integrated tools to manage all security policies and services throughout a large-scale multiple policy enterprise or service provider environment. administrators can easily configure sonicwall firewall settings deploy vpn to any user and add sonicwall upgrade and subscription services such as gateway anti-virus anti-spyware and intrusion prevention service complete anti-virus and content filtering service with the click of a button.,sonic systems inc.,0.0,b00006hvvo
31,halo (mac),halo takes you deep into the far future with the fate of humanity hanging on your shooting skills!,macsoft,29.99,b00006iqth
32,matchbox cross-town heroes,a fireworks factory is in flames. animals flee from the zoo. mischief and mayhem are popping up all over matchbox county. something must be done--and fast! in matchbox cross-town heroes kids take the wheel of their favorite matchbox vehicles and head into an intense interactive world filled with action and adventure. race to the rescue in six original matchbox vehicles including the fire crusher rescue net police suv airport fire pumper and more. interact with more than 50 different characters animals and creatures all with their own unique animations. complete an array of missions to earn hero awards unlock new vehicles and even earn one of three printable heroic certificates. plus if you're really good 12 bonus action games can be unlocked to extend the matchbox play.,thq,19.99,b00006j02n
33,tinyterm v4.x 5u windows terminal emulation (tt-5),- marketing information: tinyterm is a powerful terminal emulation software applications designed for the mixed-host enterprise. they connect windows users to host applications running on ibm unix linux dec hp and other enterprise-level servers. product information - software sub type: emulation - software name: tinyterm v.4.2x - complete product - features and benefits: provide scalable customized client access: - with tinyterm you can customize access depending on your companyandquot;s needs. you can provide just one user with access to your host or provide host access to your entire company. tinyterm can be installed on a per client basis or you can place the software on your intranet and users can download the software as needed. access your legacy host through a web-browser interface: - now you can use your desktop pc to access all your legacy data and applications. with tinyterm you can access your ibm and unix host data and applications through the convenience of a web-browser interface. tinyterm is pre-configured to work right out of the box without any modifications to your host or to your desktop keyboard. rely on superior terminal emulation and complete flexibility: - tinyterm accurately recreates basic terminal emulations including wyse 60 and 50; sco ansi; at386; dec vt320 220 100 52 and ibm 3151. automate functions with the included scripting language cscript: - tinyterm includes a powerful scripting language you,century software,705.21,b00006rgnx
34,detto move2mac usb,move2mac is a complete solution for moving information from pc to mac -- all your music photos files and folders are moved easily!,detto technologies inc,71.31,b000070ilx
35,school zone flash action -- addition/subtraction (windows/macintosh),theres no better way for children to memorize numbers letters and math facts! transforms flash cards into exciting interactive learning games for independent or group use.,school zone,12.99,b00007bguc
36,oxford world encyclopedia,here is an authoritative stimulating and up-to-date reference work with over 1-1/2 million words and 20 000 entries. oxford world encyclopedia is the first in a series of reference works from oxford university press featuring ifinger's software which allows easy access to electronic reference works. the encyclopedia installs to your hard drive and runs in the background on your pc so you can consult it whenever you want. as you build your library from oxford you build a fully integrated reference source. any ifinger products when installed on the same windows system will search through all installed reference titles with a click of a mouse button or when you roll over a word in the web browser.,tri synergy,19.99,b00007e8bi
37,mariner calc speadsheet (mac),mariner calc is spreadsheet software designed to aid users in analyzing simulating and forecasting numerical data. simpler to use and absorbing far less memory than microsoft excel mariner calc adds new options through its use of multiple layers in a single document. the software also features spreadsheets as large as 32 000 rows by 32 000 columns for analyzing large data sets and graphics and drawing tools to enhance the appearance of your documents. you'll also get 15 chart types dynamic scrolling an 80 000-plus-word dictionary and mac drag-and-drop functionality that offers an attractive alternative to cutting copying and pasting. in addition the multiple undo feature lets you trace your last nine steps. and most importantly mariner calc opens microsoft excel documents with ease giving you a streamlined alternative when building spreadsheet files.,mariner software,59.99,b00007eegy
38,extensis intellihance pro 4.x win/mac,extensis intellihance pro 4 quickly and dynamically enhances images to make themlook their best. compare and print up to 25 professional enhancement variations at once. photoshop users have long preferred intellihance pro for color correcting and enhancing images. intellihance pro automatically analyzes and corrects images from any source including digital cameras flatbed and drum scanners or original digital artwork. mac os x and photoshop cs compatible intellihance pro 4.1 adds full support and compatibility for photoshop cs (v. 8.0) and mac os x panther (v. 10.3.1). fix images intelligently intellihance pro's award-winning technology analyzes and corrects each image individually for contrast and brightness saturation sharpness dust and scratches color cast and more. fix multiple images automatically intellihance pro is as easy as a simple click. use the quick enhance preset to analyze and fix an image with one click. its batch processing capabilities fix a whole folder of images just as easily. visually adjust your images the power variations mode lets you interactively and visually adjust your images. quickly change the incremental variance for adjusting your image. fine tune images for precise adjustment the fine tune mode lets you manually adjust your settings. compare settings onscreen preview a single image split or repeated across 5 rows and columns,extensis corporation,199.99,b00007kh02
40,webobjects 5.2,webobjects 5.2 gives developers a comprehensive suite of tools and frameworks to quickly develop standards-based web services and java server applications. powerful data access page generation and session management capabilities extend the reach of your developers and reduces the cost of ownership. deliver your j2ee-compatible solutions on time and on budget!,apple,699.95,b000088ner
42,talk now! learn afrikaans - beginning level,talk now! beginners afrikaans is the perfect way to study a new language. it operates on multiple levels to create an immersive learning experience. through vocabulary lessons and cultural exercises you'll develop a solid afrikaans vocabulary -- and you'll have fun too!,eurotalk,29.99,b0000899lt
43,passwords plus 1.0,passwords plus stores all your personal information safely and securely in one spot. keep your pins passwords credit card numbers bank accounts frequent flyer info and more from falling into the wrong hands. the software synchronizes your pc and mobile devices always ensuring your personal information is up-to-date when and where you need it. you can even synchronize your handheld with both your work and home pc. also it keeps your personal information truly safe and secure with industry-standard 128-bit blowfish encryption so your information is safe whether it is stored on your pc handheld or smartphone.,dataviz,29.99,b00008ajjc
44,microsoft windows server 2003 client additional license for users-5 pack,designed for small organizations and departmental use windows server 2003 standard edition delivers intelligent file and printer sharing secure internet connectivity centralized desktop policy management and web solutions that connect employees partners and customers. windows server 2003 standard edition provides high levels of dependability scalability and security. it takes the best of windows 2000 server technology and makes it easier to deploy manage and use. the result is a highly productive operating system that is secure reliable highly available and scalable. new technologies such as the common language runtime strengthen security to help safeguard networks from malicious or poorly designed code. in addition improvements to internet information services (iis) 6.0 public key infrastructure (pki) and kerberos make it easier to secure windows server 2003. new and improved file and print services in windows server 2003 standard edition also make storage and backup easier while significantly reducing the demands on system administrators. also file and print services are improved with the addition of the web-based distributed authoring and versioning (webdav) remote document sharing technology. enhancements to the distributed file system (dfs) and encrypting file system (efs) allow for powerful flexible file sharing and storage as well. networking improvements and new features in the windows server 2003 family extend the versatility manageability and dependability of network infrastructures. windows server 2003 makes it easier than ever for you to stay connected to their centralized systems from anywhere and on any device. microsoft has built significant networking enhancements in windows server 2003 including internet protocol version 6 (ipv6) point-to-point protocol over ethernet (ppoe) and internet protocol security (ipsec) over network address translation (nat). and with the optimized native support of microsoft .net and xml you get a platform to develop distribute and host xml web services created with .net. note: this is 5 additional windows server 2003 user cals.,microsoft,809.0,b00008mnxq
45,microsoft windows server 2003 client additional license for devices - 5 pack,designed for small organizations and departmental use windows server 2003 standard edition delivers intelligent file and printer sharing secure internet connectivity centralized desktop policy management and web solutions that connect employees partners and customers. windows server 2003 standard edition provides high levels of dependability scalability and security. it takes the best of windows 2000 server technology and makes it easier to deploy manage and use. the result is a highly productive operating system that is secure reliable highly available and scalable. new technologies such as the common language runtime strengthen security to help safeguard networks from malicious or poorly designed code. in addition improvements to internet information services (iis) 6.0 public key infrastructure (pki) and kerberos make it easier to secure windows server 2003. new and improved file and print services in windows server 2003 standard edition also make storage and backup easier while significantly reducing the demands on system administrators. also file and print services are improved with the addition of the web-based distributed authoring and versioning (webdav) remote document sharing technology. enhancements to the distributed file system (dfs) and encrypting file system (efs) allow for powerful flexible file sharing and storage as well. networking improvements and new features in the windows server 2003 family extend the versatility manageability and dependability of network infrastructures. windows server 2003 makes it easier than ever for you to stay connected to their centralized systems from anywhere and on any device. microsoft has built significant networking enhancements in windows server 2003 including internet protocol version 6 (ipv6) point-to-point protocol over ethernet (ppoe) and internet protocol security (ipsec) over network address translation (nat). and with the optimized native support of microsoft .net and xml you get a platform to develop distribute and host xml web services created with .net. note: this is one additional windows server 2003 device cal.,microsoft,209.0,b00008mnxr
46,microsoft windows terminal server 2003 client additional license for users- 5 user,terminal server lets you deliver windows-based applications or the windows desktop itself to virtually any computing device--including those that cannot run windows. terminal server provides this capability for both windows and non-windows-based client devices. when a user runs an application on terminal server all of the application execution takes place on the server and only keyboard mouse and display information traverses the network. with remote desktop for administration (formerly known as terminal services in remote administration mode) you can administer a computer from virtually any computer on your network. based on terminal services technology remote desktop for administration is specifically designed for server management. terminal server session directory is a feature that allows users to easily reconnect to a disconnected session in a load balanced terminal server farm. session directory is compatible with the windows server 2003 load balancing service and is supported by third-party external load balancer products from manufacturers such as f5 networks and radware. note: this is one additional windows server 2003 terminal server user cal.,microsoft,669.0,b00008mnxz
48,cisco security server agent for windows and solaris - license - 100 agents - win solaris ( csa-b100-srvr-k9 ),the next-generation cisco security agent network security software provides threat protection for server and desktop computing systems also known as endpoints. the cisco security agent goes beyond conventional endpoint security solutions by identifying and preventing malicious behavior before it can occur thereby removing potential known and unknown security risks that threaten enterprise networks and applications. because the cisco security agent analyzes behavior rather than relying on signature matching its solution provides robust protection with reduced operational costs. as recent high-visibility attacks like code red and the sql slammer worm have shown traditional technologies are limited in their abilities to combat the effects of new and evolving attacks. customers require host security that protects throughout all stages of an attack and provides important protection against new and unknown threats. assaults on network systems typically go through stages. cisco recognizes that only a layered approach is effective against security breaches that can occur at any stage from beyond the perimeter to the server or at the file level. the cisco security agent proactively defends against damage to a host throughout all stages of the attack whereas other technologies provide early-stage protection and only then when a signature is known. the cisco security agent is specifically designed to protect against new attacks where there is no known signature. the cisco security agent consists of a management console resident on a server and host-based agents that are deployed on mission-critical desktops and servers. the agents use the http and secure sockets layer (ssl) protocols (128-bit ssl) for the management interface and for the communications between agents and the management console.,cisco systems - enterprise,0.0,b00008mopv
49,power on now up to date & contact windows,- marketing information: productivity is a lot like the weather. everyone talks about it but nobody does anything about it. staying organized is a continual struggle for most people. wrestling with paper planners trying all the latest handheld computers but still getting out of sync missing appointments losing contacts information notes. and itandquot;s not like modern life is getting any slower and easier to manage. now up-to-date and contact is the only solution that addresses all of the problems that businesses and power users face. product information - software sub type: content management - software name: now up-to-date and contact - complete product - features and benefits: - features - now up-to-date and contact is a mature product. - flexible - start using now up-to-date and contact immediately without reading the manual then grow customize use it the way you want. - shared calendars and contacts - true sharing and network calendars and address books. schedule meetings reserve rooms and resources share client information. - low overhead - now up-to-date and contact installs and configures in minutes. - internet integration - update your calendar and contacts from anywhere with internet access. publish calendars and address books to the web. special web features for contacts let you look up address information maps select restaurants view the weather and more. - palm synchronization - most flexible syncing available. you,power on software,129.99,b000090179
53,marine aquarium 2.5 virtual undersea paradise win/mac,marine aquarium 2.0 is like having a small piece of an aquatic paradise in your home -- without having to take care of actual fish!,encore software,19.99,b0000959kx
54,fisher-price rescue heroes: lava landslide,join the rescue heroes and become a hero when avolcano erupts!product information&nbsp;emergency! this is a rescue heroes alert! an erupting volcano's hot flowing lavahas trapped cave explorers and threatens wild animals! only the rescue heroesteam can sa,knowledge adventure,0.0,b000098xiy
55,custom landdesigner 3d design 7.0,,sierra on-line,0.0,b000098xjo
56,marine aquarium 2.0 (pc & mac),view marine life so vibrant you won't believe your eyes! gorgeous details have gone into creating the high-resolution fish models and reef tank for an indescribably realistic effect. achieve serenity from an exquisite marine habitat without the expense or maintenance of the real thing. so peaceful. so mesmerizing. with 26 exotic species of fish it's like having your very own aquatic paradise through your pc or mac.,encore,29.99,b0000990y7
57,time money & fractions grades 1-2,proven curriculum audio helps and clear examples help your child master essential skills. children remember what they have practiced because the exercises repeat and reinforce learning time.,school zone,9.99,b000099107
58,vocabulary puzzles grade 1,proven curriculum audio helps and clear examples help your child master essential skills. children remember what they have practiced because the exercises repeat and reinforce learning time.,school zone,14.95,b000099108
59,cosmi talking math & more for kids (windows),program teaches and reinforces vital basic skills including counting shape and color recognition addition subtraction multiplication and division. a complete report card program tracks each child's progress. set different difficulty levels goals and quiz length.colorful talking flash cards teach these essential skills: alphabet reading & spelling addition subtraction multiplication & division counting states & flags shape recognition,cosmi,0.0,b000099sie
60,snap! 10 000 drink recipies (jewel case),trying to find the perfect after dinner drink? not sure what you can mix with the liquor you already have? snap! ô 10 000 drink recipes is the solution to all your beverage needs. from cocktails to bar drinks you can find practically any recipe with the extensive search option. providing an array of choices this cd-rom is a fantastic resource for any occasion. system requirements:windows 95/98/me or better 8mb ram 6mb hd 2x cd-rom drive vga monitor sound card,topics entertainment,4.99,b000099sin
61,instant immersion 33 languages,with instant immersion 33 languages brings you step-by-step instructions to turn you into a fluent speaker of nearly every major world language!,topics entertainment,49.99,b00009adf3
63,the printshop 20,print shop 20 helps home artists expand their creative horizons and indulges their creative side! the complete creativity pakcage is here -- practically bursting with new tools nad options that help you create wonderful projects!,broderbund,29.99,b00009apn8
64,the printshop 20 professional publisher,the complete and easy publishing solution for your home orbusinessproduct informationentrust your business and personal publications to the renowned quality of theprint shop. backed by two decades of industry leadership this versatile programis an essenti,broderbund,69.99,b00009apna
65,marine aquarium 2.0 (mac),a virtual undersea paradiseproduct informationview marine life so vibrant you won't believe your eyes! gorgeous details havegone into creating the high-resolution fish models and reef tank for anindescribably realistic effect. achieve serenity from an exq,encore,19.99,b00009nfc1
66,battlefield 1942: deluxe edition,battle it out in the most intense wwii combat action to ever hit your pc. choose your weapon and then jump into an all-out raging firefight. from bazookas to battleships a massive arsenal is at your command. prepare to face the enemy in the air... in the deep... and on the battlefield! battlefield 1942: in battlefield 1942 you will experience the heat of battle as you heroically storm the beaches of normandy drive a tank across the deserts of northern africa pilot a fig,electronic arts,29.99,b00009v3nw
67,pcanywhere 11.0 host only cd-rom xp 98 nt w2k me,pcanywhere 11.0 hst retail * * industry-leading remote control combined with remote management and file transfer capabilities helps quickly resolve helpdesk and server support issues * use new remote management tools to quickly solve specific problems without the need for a full remote control session * new! pcanywhere command queue can be used to send files folders and dos commands to one or more computers * symantec packager provides the ability to create customized installation sets by choosing components to install default settings default host and remote objects and security options * new! symantec packager can deploy multiple applications to windows nt/2000 windows server 2003 and xp machines for simultaneous deployment and installation,symantec,0.0,b00009v7hf
68,national geographic photo gallery (jewel case),national geographic photo gallery gives you the images you need to add a touch of the unusual or exotic to any print project!,topics entertainment,9.99,b0000afu4e
69,studyworks! teaching pro: middle school math & science (win/mac),studyworks teaching pro middle school math & science is the right mix of learning methods and math applications for build top-notch test-taking skills.,global software publishing,29.99,b0000aka82
70,pop-up stopper professional,pop-up stopper professional eliminates those unwanted pop-up ads for all web browsers!,panicware,29.99,b0000als2s
