,title_g,description_g,manufacturer_g,price_g,id_g
11,punch software 13100 - punch! ultimate deck & landscape - complete product - creativity application - 1 user(s) - complete product - standard - pc,punch software 13100 : punch! ultimate deck & landscape integrates landscaping deck design and exterior home design. estimator and deck wizards aid in creating the ultimate outdoor living space. 3d photo-realistic fly-throughs drag & drop textures ...,,29.97,http://www.google.com/base/feeds/snippets/5722368875390495429
12,the beginners bible: noah's ark activity center: activity center,,,9.95,http://www.google.com/base/feeds/snippets/18441110047404795849
13,cookn vegetarian,the diet choice for many world cultures for millennia vegetarian cuisine is widely recognized as innovative exciting and appetizing as well as healthy. with cookn vegetarian you have the benefit of healthy foods in half the time.,,19.99,http://www.google.com/base/feeds/snippets/18446496383812786183
14,serverlock manager - 100 servers,in order to confidently conduct e-commerce your business assets must be absolutely secure. the watchguard serverlock system assures the integrity of your inter-networking operations by protecting your operating system and mission-critical data from ...,,56543.88,http://www.google.com/base/feeds/snippets/11430069725574750424
15,school zone interactive math 2 on track software,math 2 helps your child master second-grade math skills. engaging activities games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft® windows® 95 98 or higher 3,,9.45,http://www.google.com/base/feeds/snippets/16816523477506304009
16,computer associates mdlweb99000352 model web publisher 3.52,model web publisher 3.52 model web publisher for windows nt 95 98 version 3.52,computer associates,835.99,http://www.google.com/base/feeds/snippets/18367097829354438075
17,microsoft ho2-00003 data analyzer 2002 - complete package - 1 user,microsoft data analyzer is an easy-to-use data analysis tool that makes sophisticated business intelligence accessible to all users regardless of technical expertise. microsoft data analyzer is an easy-to-use data analysis tool that makes ...,microsoft,154.99,http://www.google.com/base/feeds/snippets/18381906790026125106
18,vivendi-universal games inc swat 4,it's not just about the badge it's about the rush! the adrenaline is always high as you carry on the legendary swat® tradition ? leading an elite squad of tactical experts into hard-hitting action that delves into every detail of the,,18.77,http://www.google.com/base/feeds/snippets/16689580885336652505
19,warlords iii - darklords rising,third in this successful series of turn-based strategy games set in a fantasy universe. this game is premised on a conflict between the selentine empire and a mysterious alliance. many new spells units and hero-types have been added since the last ...,,11.95,http://www.google.com/base/feeds/snippets/18417819850768172148
20,punch software 24100 - punch! 5 in 1 home design - complete product - architectural - 1 user - complete productcomplete productstandard - pc,punch software 24100 : power tools for serious home design plus ultimate deck for the perfect outdoor addition to your living space. p /p 5 powerful programs in one that launch from the same easy-to-use interface including our unique realmodel® ...,,35.97,http://www.google.com/base/feeds/snippets/3325089562849958903
21,scansoft textbridge pro v.11,textbridge pro 11 is the simple and fast way to convert paper into editable electronic documents saving time and increasing productivity. new ocr engines are designed to deliver the most accurate textbridge results ever.,,68.99,http://www.google.com/base/feeds/snippets/18389772286278704810
22,channel sources distribution co mlw6.0 checkmark multiledger for pc/mac,no description available,channel sources distribution co,294.58,http://www.google.com/base/feeds/snippets/11635339528486156141
23,reel deal casino quest (win 95 98 me 2000 xp),reel deal casino quest! brings the high-paced fast action of a los vegas casino right to your pc move your character through the bustling casino to explore every corner and every game. enter tournaments to achieve master status of each game and ...,,19.95,http://www.google.com/base/feeds/snippets/18398774476993389905
24,emedia music corp emedia intermediate guitar method,top 100 cd-rom of the year. - pc magazine learn to play lead guitar and more! emedia intermediate guitar method is the easiest way to take your playing beyond basic chords and melodies. new techniques are demonstrated in over 175 lesson,,49.21,http://www.google.com/base/feeds/snippets/18180725296745787083
25,global software a1055 - i love the usa (win 95 98 me nt 2000 xp/mac 8.6-9.x (classic) x v10.1 or higher),global software a1055 : get packed! you re needed for a secret mission. and you ll track down clues from coast to coast to solve the mystery. along the way you ll relive the rich history of the east coast. whoop it up in the rollicking midwest. or ...,,8.79,http://www.google.com/base/feeds/snippets/3767792591229692245
26,global software a1055 i love the usa,i love the usa get packed! you're needed for a secret mission. and you'll track down clues from coast to coast to solve the mystery. along the way you'll relive the rich history of the east coast. whoop it up in the rollicking midwest. or explore ...,global software,11.99,http://www.google.com/base/feeds/snippets/6859916462314032120
27,global software a1055 i love the usa,i love the usa get packed! you're needed for a secret mission. and you'll track down clues from coast to coast to solve the mystery. along the way you'll relive the rich history of the east coast. whoop it up in the rollicking midwest. or explore ...,global software,11.99,http://www.google.com/base/feeds/snippets/9070775827291844765
28,encore 28008 cold zero,after unknowingly double-crossing a mob boss you are forced to turn to a life of crime and carry out illegal missions or risk death at the hands of this underworld villain. description: after unknowingly double-crossing a mob boss you are forced ...,encore,21.99,http://www.google.com/base/feeds/snippets/18406000514365649458
29,sonicwall gms 1000n-incremental lic upg,today enterprises and service providers face increasing security challenges in their distributed networks from security and virus attacks to enforcing security policies. as a distributed network grows and branches into multiple subnetworks linked ...,,62920.89,http://www.google.com/base/feeds/snippets/3409784122469217433
30,sonicwall gms 1000 upgrade,sonicwall global management system (sonicwall gms) enables distributed enterprises and service providers to manage and monitor thousands of sonicwall internet security appliances from a central location with a powerful flexible and intuitive ...,,63074.12,http://www.google.com/base/feeds/snippets/9687887699930800156
31,destineer halo,minimum: macintosh computer with 800mhz g4/g5 or faster processor mac os x v10.2.8 or higher 256mb ram 32mb agp video card (geforce 2mx/ati 7500 or better) 1.4gb hard disk space internet or lan connection required for online play. recommended: 1ghz ...,,29.99,http://www.google.com/base/feeds/snippets/13286819633533674312
32,matchbox cross town heros,overview in matchbox cross town heroes young game players will take the wheel of popular matchbox vehicles like the fire crusher or rescue net police car in three extensive worlds. players can drive and explore amazing interactive environments to ...,,14.9,http://www.google.com/base/feeds/snippets/18268949289189904876
33,century software tt-5 - century tinyterm v.4.2x - complete product - emulation - 5 user(s) - complete product - standard - pc,century software tt-5 : tinyterm is a powerful terminal emulation software applications designed for the mixed-host enterprise. they connect windows users to host applications running on ibm unix linux dec hp and other enterprise-level servers. ...,,395.97,http://www.google.com/base/feeds/snippets/6732814497585724663
34,detto move2mac usb kit (to move data from pc to ma,pc with 486 or higher processor microsoft internet explorer 4.01* or higher mouse (highly recommended) keyboard any of the following operating systems: microsoft windows 98 98se millennium 2000 or xp 32 mb ram 30 mb hard drive space cd rom drive ...,,44.99,http://www.google.com/base/feeds/snippets/13036666023758000710
35,school zone interactive flash action addition & subtraction,addition/subtraction flash action transforms flash cards into exciting learning games. children compete against the clock or another player as they play for speed and accuracy. system requirements: pc: microsoft® windows 95/98 o,,8.8,http://www.google.com/base/feeds/snippets/17967569973770560353
36,tri synergy inc oxford world encyclopedia,here is an authoritative stimulating and up-to-date reference work with over 1.5 million words and 20000 entries. oxford world encyclopedia is the first in a new series of reference works from oxford university press featuring ifinger's software,,16.31,http://www.google.com/base/feeds/snippets/18286585073343765950
37,mariner calc spreadsheet software,system requirements: os10.3,,52.99,http://www.google.com/base/feeds/snippets/3997486488729671932
38,onone software ice-10770 intellihance pro 4.1 mac/win (buy now and get free cs3 compatibility upgrades),dynamic image enhancement and color correction intellihance pro 4 quickly and dynamically enhances images to make them look their best. compare and print up to 25 professional enhancement variations at once.highlights:^^ quickly and dynamically ...,onone software,158.99,http://www.google.com/base/feeds/snippets/4749954713094759082
39,onone software ice-10770 intellihance pro 4.1 mac/win (buy now and get free cs3 compatibility upgrades),dynamic image enhancement and color correction intellihance pro 4 quickly and dynamically enhances images to make them look their best. compare and print up to 25 professional enhancement variations at once.highlights:^^ quickly and dynamically ...,onone software,158.99,http://www.google.com/base/feeds/snippets/7249154325906371083
40,apple web objects 5.2 software apple & mac software,web objects 5.2 software apple's webobjects allows you to quickly develop and deploy java server applications and standards-based web services. a powerful rapid application development environment that extends the reach of developers and reduces the ...,,689.95,http://www.google.com/base/feeds/snippets/1347968736695236641
41,apple software m8789z/a webobjects 5.2,the easiest way to build powerful web services. webobjects makes it easy to quickly develop and deploy your java server applications. now with version 5.2 you can offer these applications as standards-based web services as well.a powerful rapid ...,apple software,648.99,http://www.google.com/base/feeds/snippets/4776201646741876078
42,topics entertainment talk now! afrikaans - beginners,talk now! beginners afrikaans is the perfect way to study a new language. it operates on multiple levels to create an immersive learning experience. through vocabulary lessons and cultural exercises you'll develop a solid afrikaans vocabulary -- and ...,,16.93,http://www.google.com/base/feeds/snippets/16676630267570211401
43,passwords plus ( v. 1.0 ) - complete package,passwords plus - ( v. 1.0 ) - complete package - 1 user - win palm os - 128-bit,,28.5,http://www.google.com/base/feeds/snippets/18424464601572004274
44,microsoft r18-00908 windows server 2003 client access license 20-pack (per user),20 user cals -- authorize more users to access your windows server 2003! now you have the choice of licensing users or devices. this client pack is licensed per user. client access licensingmicrosoft offers flexible cost-effective options for ...,microsoft,688.99,http://www.google.com/base/feeds/snippets/18380054536947094037
45,microsoft windows server 2003 client additional license for devices - 5 pack (823930),microsoft windows server 2003 client additional license for devices - 5 pack brand: microsoft mpn: 823930 variant name: microsoft windows server 2003 client additional license for devices - 5 pack,,158.39,http://www.google.com/base/feeds/snippets/13582930230756997101
46,win 2003 ter svr cal 5pk microsoft r19-00846,model- ms28736nt vendor- microsoft features- windows terminal svr cal 2003 english microsoft license pack user 5 pack calmanufacturer warranty: 90 days,,762.95,http://www.google.com/base/feeds/snippets/18389048469504944658
47,microsoft windows terminal server 2003 client additional license for users- 5 user (824048),microsoft windows terminal server 2003 client additional license for users- 5 user brand: microsoft mpn: 824048 variant name: microsoft windows terminal server 2003 client additional license for users- 5 user,,719.04,http://www.google.com/base/feeds/snippets/9445487736380311288
48,cisco security server agent (windows and solaris) 100-agent bundle,with the addition of cisco security agent endpoint security software cisco offers its customers the most comprehensive network security threat protection portfolio for securing large corporate networks.,,64821.43,http://www.google.com/base/feeds/snippets/16621550764866327052
49,now software nuw45e1k - now up-to-date & contact - complete product - content management - 1 user(s) - complete product - standard - pc,now software nuw45e1k : productivity is a lot like the weather. everyone talks about it but nobody does anything about it. staying organized is a continual struggle for most people. wrestling with paper planners trying all the latest handheld ...,,107.97,http://www.google.com/base/feeds/snippets/16002979675138477406
50,now software nuw45e1k now up-to-date & contact for windows,now up-to-date & contact offers identical functionality on both macintosh and windows platforms now up-to-date & contact is the ideal calendar and contact management solution for business schools organizations and individuals. it's available for ...,now software,114.99,http://www.google.com/base/feeds/snippets/17953929889613420408
51,now software nuw45e1k now up-to-date & contact for windows,now up-to-date & contact offers identical functionality on both macintosh and windows platforms now up-to-date & contact is the ideal calendar and contact management solution for business schools organizations and individuals. it's available for ...,now software,114.99,http://www.google.com/base/feeds/snippets/4323218411575640054
52,now software nuw45e1k now up-to-date & contact for windows,now up-to-date & contact offers identical functionality on both macintosh and windows platforms now up-to-date & contact is the ideal calendar and contact management solution for business schools organizations and individuals. it's available for ...,now software,114.99,http://www.google.com/base/feeds/snippets/9700384320550908183
53,encore software 25020 - marine aquarium 2.5 (hybrid) - win 95 98 me 2000 xp/mac 10.1 or higher,encore software 25020 : marine aquarium 2.5 hybrid discover the virtual fish tank phenomenon that has everyone talking! marine aquarium 2.5 delivers a stunning undersea paradise through your desktop with 26 exotic species of fish. system ...,,19.97,http://www.google.com/base/feeds/snippets/6052848636732301170
54,fisher-price rescue heroes: hurricane havoc,saving the day has never been so much fun! rookie rescuers get to fly helicopters put out fires ride police motorcycles and much more! realistic emergency situations awesome rescue vehicles and action-oriented activities give your young hero a ...,,8.95,http://www.google.com/base/feeds/snippets/12991839860010855049
55,custom land designer 3d 7.0,overview everything you need to easily create a beautiful landscape and garden. get great ideas from 84 professionally designed gardens and landscapes. experiment with 1400 structures and objects including fencing arbors benches statuary bird ...,,12.9,http://www.google.com/base/feeds/snippets/16361312648941715869
56,encore software 25005 - encore marine aquarium v.2.0 - complete product - screen saver - 1 user(s) - complete product - standard - pc mac,encore software 25005 : marine aquarium 2.0 hybrid discover the virtual fish tank phenomenon that has everyone talking! marine aquarium 2.0 delivers a stunning undersea paradise through your desktop with 26 exotic species of fish. system ...,,18.97,http://www.google.com/base/feeds/snippets/13833576505530604294
57,school zone interactive time money & fractions 1-2 on track software,time money & fractions incorporates critical math skills with interactive learning. engaging activities arcade games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft&re,,9.45,http://www.google.com/base/feeds/snippets/16698946140878275557
58,school zone interactive vocabulary puzzles 1 on track software,vocabulary puzzles 1 helps children recognize pronounce and spell words. engaging activities games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft® windows® 9,,9.45,http://www.google.com/base/feeds/snippets/18105761375553744131
59,cosmi talking math for kids,key features: teaches basic math introduces states and flags encourages reading various skill levels for kindergarten and up cosmi ...,,4.99,http://www.google.com/base/feeds/snippets/12471937113581397461
60,10000 drink recipe - snap,trying to find the perfect after dinner drink? not sure what you can mix with the liquor you already have? snap! 10000 drink recipes is the solution to all your beverage needs. from cocktails to bar drinks you can find practically any recipe with t,,8.95,http://www.google.com/base/feeds/snippets/18383594456090582739
61,instant immersion 33 languages,topics entertainment instant immersion 33 languages with the step-by-step instruction in 33 native tongues making up instant immersion 33 languages your only dilemma is deciding which language you want to speak first! windows mac & xp pc,,47.36,http://www.google.com/base/feeds/snippets/10843999530069218918
62,instant immersion 33 languages,topics entertainment instant immersion 33 languages with the step-by-step instruction in 33 native tongues making up instant immersion 33 languages your only dilemma is deciding which language you want to speak first! windows mac & xp pc,topics entertainment,43.99,http://www.google.com/base/feeds/snippets/12203635138191657547
63,the printshop 20,overview the print shop 20 delivers thousands of irresistible project ideas including greeting cards calendars photo projects crafts and so much more. enliven your creations with a huge array of exciting design elements like premium artwork and ...,,19.9,http://www.google.com/base/feeds/snippets/17298617365180292947
64,printshop 20 pro publisher,overview access powerful images and design tools. the print shop is your creative toolbox filled with an infinite number of projects you can personalize for every occasion. design memorable cards calendars newsletters and more using a variety of ...,,34.9,http://www.google.com/base/feeds/snippets/3435680088823178198
65,encore marine aquarium 2.0,os9: 9.0 or higher; osx: 10.1.5 or higher g3 350 mhz or higher 48mb ram (3mb free) opengl accelerated video drivers with 8mb vram (16mb vram for larger than 1024x768) 2mb of free hard disk space cd-rom quicktime 2.5 or later,,19.99,http://www.google.com/base/feeds/snippets/4441393199380874556
66,ea sports battlefield 1942: deluxe edition (pc) game,super fast shipping - platinum reseller ratings - over 12 years in business jump into an all-out raging firefight! from bazookas to battleships a massive arsenal is at your command. prepare to face the enemy in the air.. in the deep.. and on the ...,,9.99,http://www.google.com/base/feeds/snippets/16452108546715101414
67,symantec pcanywhere 11.0 - windows,super fast shipping - platinum reseller ratings - over 12 years in business symantec pcanywhere 11.0 combines versatile remote control functionality with secure customizable tools for remote management and file transfer. the integrated remote ...,,19.99,http://www.google.com/base/feeds/snippets/18373045261595979693
68,national geographic photo gallery topics,key features: 3000 color photos meet the photographers ...,,9.95,http://www.google.com/base/feeds/snippets/10376000923691891679
69,middle school math & science,overview your children will learn how to apply the concepts step by step with easy-to-follow examples. lay the foundation for math and science success. turn even the most difficult subjects into achievement opportunities with expert instruction ...,,12.9,http://www.google.com/base/feeds/snippets/15883771067913561390
70,csdc pop-up stopper professional - panicware,pop-up stopper professional is complete ad-blocking technology from a company you can trust. it blocks pop-up and pop-under ads in all browsers including aol msn netscape internet explorer sbc yahoo wmconnect & more ? it even blocks annoying ...,,26.14,http://www.google.com/base/feeds/snippets/17832927937923546408
71,onone software pxe-11433 pxl smartscale elect 1-user english mac/win,seeing is believing. using pxl smartscale youll have complete control of the overall sharpness edge contrast and detail. powered by the most advanced scaling technology available pxl smartscale offers an easy intuitive way to scale images up to ...,onone software,158.99,http://www.google.com/base/feeds/snippets/5449819493015414043
72,onone software pxe-11433 pxl smartscale elect 1-user english mac/win,seeing is believing. using pxl smartscale youll have complete control of the overall sharpness edge contrast and detail. powered by the most advanced scaling technology available pxl smartscale offers an easy intuitive way to scale images up to ...,onone software,158.99,http://www.google.com/base/feeds/snippets/8506958797516287357
73,csdc ntx-2003-01r notetaker for os x v1.5 - aquaminds software,a third generation outline and information processor that helps you manage anything and everything in one place. notetaker 2003 is powerful new os x software for organizing your information lifestyle your digital workstyle. at its most basic level ...,csdc,59.99,http://www.google.com/base/feeds/snippets/2914315195947217599
74,aquaminds notetaker,content creation and editing tools multi-level outline processor w/custom ruler controls (single entry or multi-line capability) multi-level reorganizing controls (by entry level outline level page level and section level) rich text editing (font ...,,62.99,http://www.google.com/base/feeds/snippets/5310740648374994867
75,nova greeting card factory for mac,system requirements mac os x (system 10.1 or later) or mac os 9 (system 9.1 or later) cd-rom drive beautiful results with all popular printers - inkjet and laser - including epson hp canon lexmark and more.,,41.99,http://www.google.com/base/feeds/snippets/12956485848771496004
76,macspeech ilisten software,feature summary easy to install train and use continuous speech recognition - dictation in normal tone of voice and at a normal pace using the philips freespeech 2000 speech engine direct dictation - dictate edit and format text directly in any ...,,99.99,http://www.google.com/base/feeds/snippets/10445277524546945239
77,microsoft 392-02322 ae frontpage 2003,microsoft frontpage academicmodel- ms-cd34597wiaevendor- microsoft corporation** academic authorized version **features- microsoft frontpage 2003 frontpage 2003 provides the features flexibility and functionalityto help you build better web sites. ...,,87.99,http://www.google.com/base/feeds/snippets/18413075895200367717
78,nova development corp humorous greeting card factory,now you can personalize and send the very best store-quality humorous greeting cards with art explosion® humorous greeting card factory®. never before has such an impressive collection of humorous greeting cards been available in one software pr,,28.3,http://www.google.com/base/feeds/snippets/18343959075631403504
79,nova development ghw humorous greeting card factory,art explosion humorous greeting card factory is the most powerful yet easy to use humorous greeting card software available. it goes far beyond competing products with many more unique possibilities now you can personalize and send the best ...,nova development,29.99,http://www.google.com/base/feeds/snippets/18433413888105089937
80,hewlett packard 213076-b26 secure path v4.0c win wkgp ed 1 lic/cd,secure path v4.0c win wkgp ed 1 lic/cd,,1888.39,http://www.google.com/base/feeds/snippets/18398703861878507186
81,chessmaster 9000: feral interactive,minimum system requirements (macintosh) mac os 10.2 powerpc g3/g4 700 mhz 256 mb ram hardware accelerated 3d graphics card with 16 mb vram dvd drive 1.3 gb free hard disk space. mouse and keyboard quicktime 6 recommended system requirements ( ...,,38.99,http://www.google.com/base/feeds/snippets/15283790763832398825
82,feral interactive limited chessmaster 9000,chessmaster 9000 - teacher mentor and ultimate opponent. cm9k is the ebst-selling series of chess simulations and this is the first of the series to appear on the mac for several years and it reappears on the mac with a new and improved chess ...,,35.98,http://www.google.com/base/feeds/snippets/17335686828900761528
83,aspyr leave the lights on-bundle,system requirements: mac os 9.1 or mac os x 10.1 128 mb built-in memory stock g3 or g4 at 400 mhz or greater 700 mb storage space graphics acceleration required ati rage 128 radeon or nvidia geforce series 4x cd-rom drive system requirements ( ...,,29.99,http://www.google.com/base/feeds/snippets/18364436159487312703
84,cyberlink power director 3,super fast shipping - platinum reseller ratings - over 12 years in business,,9.99,http://www.google.com/base/feeds/snippets/17409160117322953940
85,adobe 42050106 acrobat distiller svr v6-cd sun 100u,acrobat distiller svr v6-cd sun 100u 42050106 adobe,adobe,5399.99,http://www.google.com/base/feeds/snippets/18395209041486825295
86,topics presents: human body,from brain activity to muscular movement circulatory function to the skeletal system this award-winning suite includes 5 cd-roms that provide a complete guide tutorial and reference source on human anatomy and physiology. features the human 3d; ...,,15.9,http://www.google.com/base/feeds/snippets/321181551780335576
87,simple movie maker,leap from camcorder photography to cinematic presentation. aa simple step with simple movie maker the novice-friendly editing software that puts you in the director's chair. effortlessly transfer your raw digital camcorder footage to your computer ...,,12.9,http://www.google.com/base/feeds/snippets/13728717906019565465
88,topics presents:dinosaurs,the most engaging informative and imaginative journey back in time since the mesozoic era. from the albertosaurus to the velociraptor; the triassic period to the cretaceous these 4 cd-roms spirit you to the wondrous time when these ancient ...,,12.9,http://www.google.com/base/feeds/snippets/4188176128903497851
89,topics presents: museums of world,5 cd-rom set. step behind the velvet rope to examine some of the most treasured collections of antiquities art and inventions. includes the following the louvre - virtual visit 25 rooms in full screen interactive video detailed map of the louvre ...,,12.9,http://www.google.com/base/feeds/snippets/8175198959985911471
90,palmspring software 523 oxford american desk dictionary,oxford american desk dictionary 523 palmspring software,palmspring software,24.2,http://www.google.com/base/feeds/snippets/10202903815808902868
91,palmspring software 523 oxford american desk dictionary,oxford american desk dictionary 523 palmspring software,palmspring software,24.2,http://www.google.com/base/feeds/snippets/341468719852005595
92,emedia eg04025 intermediate guitar method - complete package,learn to play lead guitar and more! everything you need to take your playing beyond basic chords/melodies. new techniques are demonstrated in over 175 lessons with full-motion video variable-speed. emedia's intermediate guitar method interactive/ ...,emedia,53.99,http://www.google.com/base/feeds/snippets/18423412970630780827
93,emedia eg03014 bass method os x,features step-by-step lessons using full-motion video and over 200 songs/exercises. includes songs by dylan and others features step-by-step lessons using full-motion video and over 200 songs/exercises. includes songs by dylan and others.system ...,emedia,53.99,http://www.google.com/base/feeds/snippets/18424247759201075212
94,corel ulead dvd workshop 2 authoring software,dvd workshop 2 ulead dvd workshop 2 is powerful and intuitive authoring software for professional dvd creation. much of the features were designed with the professional in mind keeping interfaces simple and straightforward but also providing complex ...,,299.95,http://www.google.com/base/feeds/snippets/407742822135371560
95,apple software m9372z/a final cut express 2.0 upgrade,now optimized for the power mac g5 and mac os x panther apples feature-rich dv editing software is designed for the complete beginner aspiring filmmaker educator and experienced dv editor alike. create professional-quality video with final cut ...,apple software,79.99,http://www.google.com/base/feeds/snippets/251538724524961694
96,apple software m9372z/a final cut express 2.0 upgrade,now optimized for the power mac g5 and mac os x panther apples feature-rich dv editing software is designed for the complete beginner aspiring filmmaker educator and experienced dv editor alike. create professional-quality video with final cut ...,apple software,79.99,http://www.google.com/base/feeds/snippets/272319572293073318
97,apple software m9372z/a final cut express 2.0 upgrade,now optimized for the power mac g5 and mac os x panther apples feature-rich dv editing software is designed for the complete beginner aspiring filmmaker educator and experienced dv editor alike. create professional-quality video with final cut ...,apple software,79.99,http://www.google.com/base/feeds/snippets/4672425011703995374
98,adobe pagemaker 7.0 for mac version upgrade,system requirements: mac minimum ram required 16mb recommended ram 32mb minimum disk space required 100 disk space measurement unit mb recommended disk space 150 required cpu type powerpc 601 required cpu speed 100mhz additional details power ...,,79.99,http://www.google.com/base/feeds/snippets/14758105640999079833
99,nova development corp ideasoft photo clip art 10000,stand out from the crowd with 10000 unique photo images! these bright bold and brilliant photos come with solid changeable backgrounds making them as easy to use as clip art. from bananas to banjos cars to children dogs to ducks - there's a photo,,7.81,http://www.google.com/base/feeds/snippets/18312853825749428303
100,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199.0,http://www.google.com/base/feeds/snippets/16537637847870148950
101,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199.0,http://www.google.com/base/feeds/snippets/4018509382848032799
102,apple software m9301z/b soundtrack v1.2,produce music with thousands of loops and effects! soundtrack brings the art of music composing to everyone. with minimal cost and effort you can produce custom music to your video dvd or web project. you wont need to license a song or hire a ...,apple software,199.0,http://www.google.com/base/feeds/snippets/4081985616275580076
103,clipart & more 250000 (jc),top-quality royalty-free images use these royalty-free images in any project advertising brochures newsletters postcards craft projects labels posters with any print publishing program! over 25000 images on cd-rom 225000 web images online ...,,9.9,http://www.google.com/base/feeds/snippets/11618158047568311763
104,me too software 800001 - i copy dvds 2 (win 98 me 2000 xp),me too software 800001 : i copy dvds2 standard edition is the latest procuct from me too software that allows you to make high quality back up copies of any dvd movie. system requirements: windows xp/2000/98/me pentium iii 500 mhz 128 mb ram 10 ...,,43.97,http://www.google.com/base/feeds/snippets/18039361276696190381
105,the big mix,the big mix by allume systems for mac play it. mix it. rock it. unleash your talent. become the next superstar or the hottest dj. the big mix delivers the goods. this collection will let you rock the world or just listen to the music. so let the ...,,36.9,http://www.google.com/base/feeds/snippets/12904825904608701558
106,apple software t9163ll/a logic pro 6,1 user standard license complete retail package logic is the most widely used program of its kind in professional music production. it elegantly combines composition notation and audio production facilities in one comprehensive product. and now ...,apple software,809.0,http://www.google.com/base/feeds/snippets/14693413290856659257
107,apple software t9164ll/a logic express 6,logic express offers the same flexibility reliability ease of use and precision as its big brother logic pro 6 but at a price point that fits the budget of aspiring pros students and hobbyists give your ideas creative freedom with logic ...,apple software,219.0,http://www.google.com/base/feeds/snippets/16246834342456901109
108,apple software t9164ll/a logic express 6,logic express offers the same flexibility reliability ease of use and precision as its big brother logic pro 6 but at a price point that fits the budget of aspiring pros students and hobbyists give your ideas creative freedom with logic ...,apple software,219.0,http://www.google.com/base/feeds/snippets/5976779863499710865
109,apple software t9164ll/a logic express 6,logic express offers the same flexibility reliability ease of use and precision as its big brother logic pro 6 but at a price point that fits the budget of aspiring pros students and hobbyists give your ideas creative freedom with logic ...,apple software,219.0,http://www.google.com/base/feeds/snippets/7062936722155279808
110,apple software t9161ll/a logic platinum/ gold 5&6 to logic pro 6 update,updates any existing logic platinum or logic gold user owning version 5 or 6 to logic pro 6. updates any existing logic platinum or logic gold user owning version 5 or 6 to logic pro 6. package contains necessary codes to provide 90 day access to ...,apple software,149.0,http://www.google.com/base/feeds/snippets/6239309275726276581
111,emc insignia retrospect desktop 6.x,product datasheet (pdf: 628kb),,89.99,http://www.google.com/base/feeds/snippets/6607475390801476875
112,mavis beacon teaches typing 16 deluxe,overview computers have changed society and influenced every part of business and personal communication. due to the overwhelming prevalence of computers it is more important than ever to develop strong keyboarding skills. whether you're e-mailing ...,,34.9,http://www.google.com/base/feeds/snippets/1035187390817409083
